Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Apr 18 19:54:27 EDT 2020,,1587254067583,25887,0,(D)3(F)1,0.0,75.0,0.0,25.0,0.0,0.0,0.16,0.0,0.12,0.04,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Apr 18 19:54:27 EDT 2020,, 1587254067583
2,,Sat Apr 18 19:54:53 EDT 2020,,1587254093556,18735,0,(D)4,0.0,100.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,[]
3,,Sat Apr 18 19:55:12 EDT 2020,,1587254112588,7523,7523,(D)4,0.0,100.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,[]
4,,Sat Apr 18 19:55:20 EDT 2020,,1587254120622,21257,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,[]
5,,Sat Apr 18 19:55:41 EDT 2020,,1587254141892,17849,0,(D)4,0.0,100.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,[]
6,,Sat Apr 18 19:55:59 EDT 2020,,1587254159839,26162,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,[]
7,,Sat Apr 18 19:56:26 EDT 2020,,1587254186083,20486,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,[]
8,,Sat Apr 18 19:56:51 EDT 2020,Client.java,1587254211622,2005861,0,(D)3(F)1(I)1,0.2,60.0,0.0,20.0,0.0,0.0,0.0024937655860349127,0.0,0.0014962593516209476,4.987531172069825E-4,0.0,0.0,4.987531172069825E-4,0.0,[]
9,,Sat Apr 18 20:30:17 EDT 2020,Client.java,1587256217627,70200,0,(I)5(R)2(I)4(R)1(I)4,0.8125,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.04285714285714286,0.18571428571428572,0.0,[]
10,,Sat Apr 18 20:31:28 EDT 2020,Client.java,1587256288058,17821,0,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,1.411764705882353,0.0,0.0,0.0,0.0,0.0,1.411764705882353,0.0,[]
11,,Sat Apr 18 20:31:47 EDT 2020,Client.java,1587256307042,-3852,-3852,(I)10(F)2(I)1(F)2(I)1(F)1(R)1(I)7,0.76,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Sat Apr 18 20:31:43 EDT 2020,CouplerListener.java,1587256303505,500485,0,(I)13(F)1(I)4(F)4,0.7727272727272727,0.0,0.0,22.727272727272727,0.0,0.0,0.044,0.0,0.0,0.01,0.0,0.0,0.034,20.0,[1587256618469 42 www.cs.unc.edu/~dewan/533/current/index.html http://www.cs.unc.edu/~dewan/533/current/index.html, 1587256614919 172 COMP 533 https://piazza.com/class/k55gm6u0c3s3jt, 1587256635943 106 assignments - Google Drive https://drive.google.com/drive/u/0/folders/1hJ_tboT9MIV8ysoCBgrQua3EUGb7qlTW, 1587256638696 8 4DistributedRMITrickOrTreat.docx - Google Docs https://docs.google.com/document/d/1i5AqLhCyR9viDT78gRCL4uGik2npjAc1/edit?usp=drive_web&ouid=100439486214344810335&dls=true, 1587256638720 4 4DistributedRMITrickOrTreat.docx - Google Docs https://docs.google.com/document/d/1i5AqLhCyR9viDT78gRCL4uGik2npjAc1/edit?dls=true, 1587256641451 189 4DistributedRMITrickOrTreat.docx - Google Docs https://docs.google.com/document/d/1i5AqLhCyR9viDT78gRCL4uGik2npjAc1/edit, 1587256642644 179 4DistributedRMITrickOrTreat.docx - Google Docs https://docs.google.com/document/d/1i5AqLhCyR9viDT78gRCL4uGik2npjAc1/edit#heading=h.gjdgxs, 1587256625432 28 GIPC/src/assignments/util/inputParameters at master � pdewan/GIPC https://github.com/pdewan/GIPC/tree/master/src/assignments/util/inputParameters, 1587256623367 20 GIPC/AnAbstractSimulationParametersBean.java at master � pdewan/GIPC https://github.com/pdewan/GIPC/blob/master/src/assignments/util/inputParameters/AnAbstractSimulationParametersBean.java, 1587256615209 4 COMP 533 https://piazza.com/class/k55gm6u0c3s3jt?cid=116, 1587256499926 3 COMP 533 https://piazza.com/class/k55gm6u0c3s3jt?cid=121, 1587256409576 4 COMP 533 https://piazza.com/class/k55gm6u0c3s3jt?cid=126, 1587256618973 215 Copy of 5DistributedNonBlockingTrickOTreat.docx - Google Docs https://docs.google.com/document/d/1cb_NiFbJmCNXLcbmpu2G3Y-52WDjwX_-/edit#, 1587256622015 6 GIPC/src/util/interactiveMethodInvocation at master � pdewan/GIPC https://github.com/pdewan/GIPC/blob/master/src/util/interactiveMethodInvocation/IPCMechanism.java, 1587256621995 2 GIPC/IPCMechanism.java at master � pdewan/GIPC https://github.com/pdewan/GIPC/blob/master/src/util/interactiveMethodInvocation/IPCMechanism.java#L3, 1587256621396 3 COMP533/Server.java at ef123dfdc94d1d639d07bfb5ad8b334d776ff135 � Jeffrey-Young/COMP533 https://github.com/Jeffrey-Young/COMP533/blob/ef123dfdc94d1d639d07bfb5ad8b334d776ff135/src/global/Server.java, 1587256624749 117 7ConsensusAtomicityTrickOTreat.docx - Google Docs https://docs.google.com/document/d/1gEN3Ct3cAI-gdgIf_9gSOkonKV18mPgb/edit]
13,,Sat Apr 18 20:40:04 EDT 2020,Client.java,1587256804063,39605,0,(I)18,1.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,[]
14,,Sat Apr 18 20:40:45 EDT 2020,Client.java,1587256845826,2529,2529,(I)2(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1(I R)1(R)1,0.52,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,11.5,6.5,0.0,[]
